City_ID,City,Country
1,Praskoveya,Russian Federation
2,Presidente Dutra,Brazil
3,Priolo Gargallo,Italy
4,Przasnysz,Poland
5,Punaauia,France
6,Punta Gorda,United States of America
7,Puttlingen,Germany
8,Puurs,Belgium
9,Pyatigorsk,Russian Federation
10,Qalyub,Egypt
11,Qinzhou,China
12,Raalte,Netherlands
13,Radaur,India
14,Radhan,Pakistan
15,Radovis,Republic of North Macedonia
16,Raismes,France
17,Rajgir,India
18,Ramacca,Italy
19,Phoenix,United States of America
20,Phulabani,India
21,Piaseczno,Poland
22,Pimpri,India
23,Pindobacu,Brazil
24,Pingyin,China
25,Pinheiral,Brazil
26,Piravam,India
27,Plato,Colombia
28,Poiana Mare,Romania
29,Polevskoy,Russian Federation
30,Pontarlier,France
31,Pontiac,United States of America
32,Pontianak,Indonesia
33,Porecatu,Brazil
34,Pori,Finland
35,Port Elizabeth,South Africa
36,Port Neches,United States of America
37,Port Talbot,United Kingdom of Great Britain and Northern Ireland
38,Portales,United States of America
39,Post Falls,United States of America
40,Pouso Alegre,Brazil
41,Dalinghe,China
42,Dalnegorsk,Russian Federation
43,Dar Es Salaam,United Republic of Tanzania
44,Darbhanga,India
45,Dayton,United States of America
46,Deinze,Belgium
47,Dekernes,Egypt
48,Delmas,Haiti
49,Deming,United States of America
50,Denton,United Kingdom of Great Britain and Northern Ireland
51,Destin,United States of America
52,Dhadar,Pakistan
53,Dharmapuri,India
54,Digri,Pakistan
55,Dinsor,Somalia
56,Dipolog,Philippines
57,Dobele,Latvia
58,Grandville,United States of America
59,Grave,Netherlands
60,Green Valley,United States of America
61,Greendale,United States of America
62,Grudziadz,Poland
63,Guamo,Colombia
64,Guardiagrele,Italy
65,Guelengdeng,Chad
66,Guildford,United Kingdom of Great Britain and Northern Ireland
67,Guiset,Philippines
68,Gukovo,Russian Federation
69,Havre De Grace,United States of America
70,Hazelwood,United States of America
71,Heddesheim,Germany
72,Heiligenhaus,Germany
73,Hemel Hempstead,United Kingdom of Great Britain and Northern Ireland
74,Hicksville,United States of America
75,Hidrolandia,Brazil
76,Gyanpur,India
77,Haiger,Germany
78,Hangzhou,China
79,Harrislee,Germany
80,Harrison,United States of America
81,Harur,India
82,Hasbergen,Germany
83,Haubourdin,France
84,Taunton,United States of America
85,Tauranga,New Zealand
86,Tawzar,Tunisia
87,Tay Ninh,Viet Nam
88,Taybad,Iran (Islamic Republic of)
89,Teano,Italy
90,Tekkali,India
91,Teodoro Sampaio,Brazil
92,Tepeaca,Mexico
93,Tequila,Mexico
94,Teramo,Italy
