City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
1,Praskoveya,Russian Federation,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
2,Presidente Dutra,Brazil,41,Good,1,Good,5,Good,1,Good,41,Good
3,Priolo Gargallo,Italy,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
4,Przasnysz,Poland,34,Good,1,Good,34,Good,0,Good,20,Good
5,Punaauia,France,22,Good,0,Good,22,Good,0,Good,6,Good
6,Punta Gorda,United States of America,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
7,Puttlingen,Germany,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
8,Puurs,Belgium,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
9,Pyatigorsk,Russian Federation,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
10,Qalyub,Egypt,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups
11,Qinzhou,China,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
12,Raalte,Netherlands,41,Good,1,Good,24,Good,6,Good,41,Good
13,Radaur,India,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
14,Radhan,Pakistan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
15,Radovis,Republic of North Macedonia,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
16,Raismes,France,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
17,Rajgir,India,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
18,Ramacca,Italy,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
19,Phoenix,United States of America,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
20,Phulabani,India,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
21,Piaseczno,Poland,28,Good,1,Good,28,Good,2,Good,28,Good
